BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen. Dat betekent dat deze ree
ksen niet geschikt zijn voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeksen van de stations De Kooy, Eelde, De B
ilt, Vlissingen, Beek of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suit
able for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Nether
lands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

YYYYMMDD  = Datum (YYYY=jaar MM=maand DD=dag) / Date (YYYY=year MM=month DD=day)
DDVEC     = Vectorgemiddelde windrichting in graden (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/ac
htergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable)
FHVEC     = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean
 windspeed (in 0.1 m/s)
FG        = Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
FHX       = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
FHXH      = Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
FHN       = Laagste uurgemiddelde windsnelheid (in 0.1 m/s) / Minimum hourly mean windspeed (in 0.1 m/s)
FHNH      = Uurvak waarin FHN is gemeten / Hourly division in which FHN was measured
FXX       = Hoogste windstoot (in 0.1 m/s) / Maximum wind gust (in 0.1 m/s)
FXXH      = Uurvak waarin FXX is gemeten / Hourly division in which FXX was measured
TG        = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
TN        = Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
TNH       = Uurvak waarin TN is gemeten / Hourly division in which TN was measured
TX        = Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
TXH       = Uurvak waarin TX is gemeten / Hourly division in which TX was measured
T10N      = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
T10NH     = 6-uurs tijdvak waarin T10N is gemeten / 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
SQ        = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (
-1 for <0.05 hour)
SP        = Percentage van de langst mogelijke zonneschijnduur / Percentage of maximum potential sunshine duration
Q         = Globale straling (in J/cm2) / Global radiation (in J/cm2)
DR        = Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
RH        = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHX       = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHXH      = Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
PG        = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from
24 hourly values
PX        = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Maximum hourly sea level pressure (in 0.1 hPa)
PXH       = Uurvak waarin PX is gemeten / Hourly division in which PX was measured
PN        = Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Minimum hourly sea level pressure (in 0.1 hPa)
PNH       = Uurvak waarin PN is gemeten / Hourly division in which PN was measured
VVN       = Minimum opgetreden zicht / Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVNH      = Uurvak waarin VVN is gemeten / Hourly division in which VVN was measured
VVX       = Maximum opgetreden zicht / Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVXH      = Uurvak waarin VVX is gemeten / Hourly division in which VVX was measured
NG        = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants, 9=sky invis
ible)
UG        = Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
UX        = Maximale relatieve vochtigheid (in procenten) / Maximum relative atmospheric humidity (in percents)
UXH       = Uurvak waarin UX is gemeten / Hourly division in which UX was measured
UN        = Minimale relatieve vochtigheid (in procenten) / Minimum relative atmospheric humidity (in percents)
UNH       = Uurvak waarin UN is gemeten / Hourly division in which UN was measured
EV24      = Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)

# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  257,20220526,     ,     ,     ,     ,     ,     ,     ,     ,     ,  146,  132,   24,  164,   13,  129,    6,   80,   49, 2195,    8,    5,    4,   23,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   81,   95,   23,   73,   12,   36
  257,20220527,     ,     ,     ,     ,     ,     ,     ,     ,     ,  137,  116,   22,  152,   16,  112,   24,  106,   65, 2446,    5,    9,    9,   22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   68,   88,    1,   55,   11,   39
  257,20220528,     ,     ,     ,     ,     ,     ,     ,     ,     ,  122,  105,   23,  144,   13,   97,   24,  125,   76, 2602,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   66,   79,    1,   55,   13,   40
  258,20220501,   55,   32,   35,   70,   20,   20,    9,   90,   20,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220502,   16,   40,   49,   80,   17,   20,    5,  100,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220503,   13,   46,   52,   90,    9,   20,    1,  110,    9,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220504,   57,   18,   22,   40,   24,   10,    7,   60,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220505,  250,    4,   28,   40,    1,   10,   15,   50,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220506,  249,   32,   37,   70,   17,   10,    2,   90,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220507,    5,   41,   65,  100,   17,   20,    8,  130,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220508,   33,   67,   71,   90,    1,   50,    9,  110,   16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220509,   87,   23,   35,   70,    1,   10,   11,   90,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220510,  232,   73,   81,  120,   15,   50,    1,  160,   15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220511,  248,   99,  103,  160,   20,   70,    1,  220,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220512,  258,   82,   83,  100,   14,   60,    8,  130,    3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220513,  254,  102,  103,  110,    1,   90,    8,  140,    4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220514,  317,   15,   47,   90,    1,   20,   13,  120,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220515,   78,   58,   59,  100,   24,   40,   12,  110,   23,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220516,  209,   31,   75,  100,   14,   40,    9,  140,   13,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220517,  178,   13,   50,   80,    1,   20,   11,  100,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220518,   14,   10,   44,   60,   13,   30,    6,   80,    8,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220519,  246,   27,   56,  120,    5,   10,    8,  180,    5,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220520,  263,   18,   63,  110,   22,   10,    5,  150,   24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220521,  267,   72,   74,  130,    1,   20,   23,  170,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220522,  128,   28,   41,   90,   24,   20,    1,  100,   23,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220523,   77,    1,   63,  110,   18,   10,   11,  150,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220524,  249,   97,  100,  130,   10,   70,   19,  180,    8,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220525,  235,  112,  114,  150,   15,   80,    2,  200,   16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220526,  256,  102,  104,  140,   16,   60,    4,  180,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220527,  286,   92,   93,  110,   13,   70,    3,  150,   15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  258,20220528,  325,   89,   91,  110,    2,   80,   11,  150,   17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  260,20220501,  359,   15,   16,   30,   16,   10,    2,   60,   18,   91,    3,    5,  156,   16,  -29,    6,   93,   63, 1981,    0,    0,    0,    1,10236,10251,    1,10219,   17,    1,    3,   83,   18,    6,   69,   99,    3,   39,   18,   28
  260,20220502,    3,   21,   24,   50,   16,    0,   24,   90,   14,  108,   17,    4,  177,   14,  -15,    6,  137,   92, 2535,    0,    0,    0,    1,10203,10216,    1,10190,   16,   57,    3,   83,   17,    1,   63,   98,    3,   35,   15,   38
  260,20220503,    8,   22,   25,   40,   12,    0,    1,   80,   17,   97,   25,    4,  159,   12,   -8,    6,   39,   26, 1380,    0,    0,    0,    1,10199,10204,   23,10194,   16,    8,    5,   80,   18,    8,   78,   99,    5,   65,   11,   20
  260,20220504,  341,   14,   16,   30,   13,    0,    6,   60,   14,  103,   39,    5,  161,   16,    9,    6,  123,   82, 2352,    0,    0,    0,    1,10194,10203,    1,10181,   17,   50,   24,   81,   17,    8,   70,   98,   24,   43,   14,   35
  260,20220505,  291,    5,   17,   30,   16,   10,    1,   60,   15,  121,   38,    4,  194,   15,   10,    6,   36,   24, 1517,    0,    0,    0,    1,10226,10256,   24,10200,    1,    6,   24,   75,   15,    6,   77,   98,    1,   47,   15,   23
  260,20220506,  282,   12,   16,   30,   12,    0,   21,   60,   11,  137,   84,    5,  210,   16,   63,   24,   69,   45, 1869,    0,    0,    0,    1,10248,10265,    8,10231,   24,    1,    1,   81,   17,    7,   79,  100,    1,   50,   17,   30
  260,20220507,  347,   22,   30,   50,   16,   10,    1,   90,   17,  147,   94,    1,  206,   13,   63,    6,   75,   49, 2054,    0,    0,    0,    1,10242,10275,   24,10224,    3,   58,    1,   81,   15,    6,   75,   98,    1,   54,   12,   34
  260,20220508,   31,   34,   35,   40,    1,   20,    4,   80,    1,  119,   71,   24,  170,   15,   40,   24,  142,   93, 2666,    0,    0,    0,    1,10282,10295,    8,10272,   16,   64,    4,   82,   19,    3,   65,   86,    4,   44,   13,   41
  260,20220509,  130,    5,   15,   30,   15,   10,    4,   60,   14,  143,   31,    5,  227,   16,   -5,    6,  126,   82, 2589,    0,    0,    0,    1,10243,10279,    1,10202,   24,   61,   24,   81,   12,    4,   64,   97,   24,   34,   15,   42
  260,20220510,  228,   31,   38,   60,   10,   20,    1,  120,   11,  171,   95,    1,  238,   12,   61,    6,   24,   16, 1406,    0,   -1,   -1,    1,10158,10196,    1,10131,   24,   62,    4,   83,   15,    8,   63,   96,    1,   40,   15,   24
  260,20220511,  240,   48,   50,   60,    8,   30,    1,  160,   20,  164,  109,   24,  211,   16,   99,   24,   91,   59, 2361,   10,   20,   11,   22,10108,10134,   24,10089,   19,   65,   21,   83,    4,    6,   61,   92,   21,   44,   13,   40
  260,20220512,  240,   35,   36,   50,   11,   20,    4,  100,   13,  142,   95,    4,  194,   16,   50,   24,  124,   80, 2341,    0,    0,    0,    1,10176,10190,    9,10141,    1,   61,    4,   83,   18,    2,   63,   96,    4,   41,   14,   38
  260,20220513,  243,   42,   44,   70,   15,   30,    1,  120,   15,  145,  109,    5,  183,   15,   97,    6,   75,   48, 1948,    0,    0,    0,    1,10192,10203,   21,10170,    3,   66,    4,   83,   19,    6,   64,   88,    4,   50,   14,   32
  260,20220514,  325,   10,   22,   30,    1,   10,    8,   70,    1,  156,   95,   24,  217,   13,   51,   24,  121,   78, 2452,    0,    0,    0,    1,10212,10218,   11,10199,    1,   59,    5,   77,   17,    3,   66,   93,    4,   43,   13,   41
  260,20220515,   88,   30,   32,   40,   11,   10,    5,   80,   11,  183,   73,    4,  250,   15,   31,    6,  144,   92, 2730,    0,    0,    0,    1,10180,10210,    1,10143,   24,   61,    4,   82,   19,    4,   53,   93,    4,   28,   16,   48
  260,20220516,  213,   20,   35,   60,   13,   20,    5,  130,   14,  178,  135,   24,  245,   11,   96,   24,   55,   35, 1499,    5,   11,   11,   12,10158,10196,   24,10124,    4,   70,   12,   82,    2,    5,   70,   90,   24,   58,   10,   26
  260,20220517,  123,   18,   23,   40,   12,   10,    2,   80,   13,  185,  110,    3,  252,   16,   73,    6,   58,   37, 1889,    0,   -1,   -1,    1,10193,10212,    9,10176,   19,   58,    3,   81,   11,    7,   73,   98,    3,   50,   15,   33
  260,20220518,  287,    7,   22,   30,    8,   10,    2,   60,    8,  192,  123,    3,  247,   13,   84,    6,   96,   61, 2257,    0,    0,    0,    1,10199,10212,   10,10178,   24,    2,    2,   83,   18,    8,   75,  100,    2,   55,   13,   41
  260,20220519,  264,   10,   22,   50,    4,    0,   24,  160,   12,  169,   94,   24,  230,   11,   62,   24,   49,   31, 1206,   35,  226,  109,   12,10187,10222,   24,10164,    2,    2,   23,   75,    9,    6,   87,   99,   23,   71,   11,   21
  260,20220520,  233,    6,   28,   50,   12,    0,    1,  140,   16,  133,   75,    4,  201,   12,   51,    6,   43,   27, 1131,   34,  190,   67,   14,10180,10220,    1,10131,   14,    1,    1,   81,   10,    7,   87,   99,    1,   58,   10,   18
  260,20220521,  264,   28,   30,   50,    1,    0,   21,   90,    2,  140,   75,   24,  176,   14,   44,   24,   75,   47, 1767,    0,    0,    0,    1,10202,10214,   12,10185,    2,    3,   24,   81,   18,    6,   76,   99,   24,   60,   14,   29
  260,20220522,  133,   18,   22,   30,   10,    0,    1,   70,   13,  156,   58,    3,  214,   16,   25,    6,  135,   84, 2649,    0,    0,    0,    1,10145,10192,    1,10083,   24,    2,    1,   83,   19,    6,   67,   99,    1,   44,   12,   44
  260,20220523,  210,    2,   25,   50,   18,   10,    5,  100,   17,  158,  124,    4,  219,   13,   98,    6,    9,    6,  962,   43,  200,  125,   17,10012,10073,    1, 9963,   16,   47,   17,   80,    1,    8,   83,   97,   17,   61,   12,   16
  260,20220524,  231,   37,   40,   60,    7,   20,   18,  120,    8,  133,   79,   24,  175,   16,   42,   24,   62,   39, 1599,   10,   14,    8,   10,10058,10117,   24,10001,    1,   40,   24,   83,   16,    6,   78,   98,   24,   53,   15,   25
  260,20220525,  224,   46,   48,   70,   11,   20,    1,  140,   16,  137,   69,    3,  178,   12,   33,    6,   64,   40, 1667,    8,    3,    2,   22,10142,10163,   24,10120,    1,    5,    2,   83,   16,    6,   78,   99,    2,   50,   12,   27
  260,20220526,  240,   50,   52,   70,   14,   30,    3,  140,   14,  161,  137,    3,  190,   13,  131,    6,   64,   40, 2018,    6,    3,    3,   24,10194,10209,   10,10165,    1,   56,   24,   82,   15,    7,   73,   90,    2,   57,   14,   34
  260,20220527,  285,   40,   42,   60,   10,   20,    4,  130,    1,  138,  108,   24,  159,   12,   92,   24,  100,   62, 2319,    6,    3,    3,    1,10215,10229,   15,10192,    1,   65,    1,   81,   17,    5,   67,   93,    4,   51,   10,   37
  260,20220528,  315,   34,   35,   50,   10,   10,   23,  120,   18,  119,   55,   24,  162,   13,   19,   24,  106,   65, 2257,     ,    2,    1,   19,10212,10225,    8,10184,   24,     ,     ,     ,     ,    3,   70,   99,   23,   48,   12,   35
  267,20220501,   38,   11,   24,   40,   17,   10,    1,   70,   19,   82,    1,    4,  130,   16,   -6,    6,  124,   83, 2329,    0,    0,    0,    1,     ,     ,     ,     ,     ,    1,    3,   82,   16,    6,   76,  100,    1,   52,   13,   32
  267,20220502,    6,   30,   38,   70,   16,   10,   24,   90,   16,   90,   23,    3,  135,   13,   16,    6,  140,   93, 2583,    0,    0,    0,    1,     ,     ,     ,     ,     ,   56,    3,   83,   19,    2,   76,   96,    4,   61,   13,   37
  267,20220503,   17,   32,   38,   70,   17,    0,    1,   90,    8,   90,   30,    2,  117,   12,   16,    6,   18,   12, 1098,    8,    2,    1,    7,     ,     ,     ,     ,     ,    4,    1,   81,   18,    8,   78,   98,    1,   63,   18,   16
  267,20220504,   47,    8,   18,   30,   24,   10,    3,   50,   10,   86,   49,   24,  116,   13,   36,   24,   75,   50, 2088,    0,    0,    0,    1,     ,     ,     ,     ,     ,   62,   24,   80,   15,    7,   72,   92,   21,   61,   13,   29
  267,20220505,  212,    5,   25,   40,    8,   10,   24,   50,    8,  116,   40,    3,  169,   14,   20,    6,   95,   62, 2079,    0,    0,    0,    1,     ,     ,     ,     ,     ,    3,   24,   74,    9,    6,   82,   99,   24,   65,   10,   32
  267,20220506,  227,   24,   30,   50,   13,   10,    1,   80,   16,  130,   87,    4,  190,   15,   89,    6,  102,   67, 2326,    0,   -1,   -1,    1,     ,     ,     ,     ,     ,    1,    1,   78,   17,    6,   85,  100,    1,   62,   15,   37
  267,20220507,    4,   38,   50,   90,   16,   20,    2,  110,   16,  129,   79,   24,  172,   15,   75,   24,   85,   55, 2246,    0,   -1,   -1,    1,     ,     ,     ,     ,     ,   39,    2,   75,   15,    6,   84,   95,    2,   71,   15,   35
  267,20220508,   25,   44,   48,   80,   14,   20,   24,  110,   15,   98,   39,   24,  146,   13,   29,   24,  135,   88, 2627,    0,    0,    0,    1,     ,     ,     ,     ,     ,   63,    1,   80,    9,    4,   73,   93,   24,   52,   11,   38
  267,20220509,  142,   13,   27,   40,   24,   10,   21,   60,   16,  127,   36,    3,  197,   15,   24,    6,  131,   85, 2608,    0,    0,    0,    1,     ,     ,     ,     ,     ,   59,    4,   81,   12,    5,   71,   94,    4,   41,   12,   41
  267,20220510,  215,   54,   59,  100,   12,   30,    2,  150,   12,  153,  129,    1,  198,   12,  109,    6,   24,   15, 1155,    0,   -1,   -1,    1,     ,     ,     ,     ,     ,   60,   22,   82,   13,    8,   79,   92,   21,   49,   12,   19
  267,20220511,  238,   78,   84,  130,   21,   50,    1,  190,   21,  140,  112,   24,  174,   12,  103,   24,   46,   30, 1886,   32,   27,   14,   19,     ,     ,     ,     ,     ,   38,   19,   80,   15,    7,   80,   95,   19,   63,   14,   30
  267,20220512,  250,   66,   68,   90,   13,   50,    7,  120,   13,  139,  107,    2,  176,   14,  100,    6,  140,   90, 2759,    0,    0,    0,    1,     ,     ,     ,     ,     ,   66,   24,   82,   12,    2,   72,   90,    3,   56,   12,   44
  267,20220513,  247,   77,   80,   90,    5,   60,    2,  130,    6,  138,  125,   22,  162,   11,  116,   24,   89,   57, 2162,    0,    0,    0,    1,     ,     ,     ,     ,     ,   62,   24,   80,   15,    6,   74,   88,   24,   64,   15,   35
  267,20220514,  317,   25,   38,   60,    1,   30,   11,   90,    1,  142,   93,   23,  174,   15,   81,   24,  141,   90, 2749,    0,    0,    0,    1,     ,     ,     ,     ,     ,   59,    1,   68,    7,    1,   77,   93,   24,   65,   15,   45
  267,20220515,   73,   45,   46,   70,   18,   20,    1,  110,   18,  162,   70,    3,  236,   16,   55,    6,  142,   90, 2726,    0,    0,    0,    1,     ,     ,     ,     ,     ,   56,    3,   80,   16,    4,   68,   94,    3,   36,   15,   46
  267,20220516,  186,   24,   55,   70,   14,   30,   23,  110,   13,  165,  121,    2,  225,   12,  114,    6,   54,   34, 1695,    0,    0,    0,    1,     ,     ,     ,     ,     ,   60,   15,   80,    7,    7,   76,   90,   22,   56,   11,   29
  267,20220517,  188,   15,   36,   50,    3,   20,   10,   70,    1,  177,  138,    3,  220,   17,  127,    6,   75,   47, 2131,    0,    0,    0,    1,     ,     ,     ,     ,     ,   65,    1,   80,   15,    7,   77,   90,    2,   60,   13,   37
  267,20220518,  332,    7,   35,   50,    9,   20,   19,   90,    9,  168,  128,   22,  209,    8,  119,   24,   95,   60, 2180,    0,    0,    0,    1,     ,     ,     ,     ,     ,   56,    4,   80,   16,    7,   82,   95,    4,   67,    8,   37
  267,20220519,  252,   20,   48,   80,    5,   20,    7,  150,    5,  163,  123,   24,  223,   11,  115,   24,   38,   24,  958,   34,  164,   57,   12,     ,     ,     ,     ,     ,   50,   13,   75,   11,    7,   90,   97,   12,   77,   11,   16
  267,20220520,  251,   16,   49,   90,   19,   10,   14,  150,   18,  136,   95,    5,  175,   12,   87,    6,   32,   20, 1065,   44,  117,   39,   15,     ,     ,     ,     ,     ,   42,    5,   70,   12,    7,   87,   96,    5,   69,   13,   17
  267,20220521,  271,   67,   70,  100,    2,   20,   24,  150,    3,  135,   98,   24,  160,   14,   75,   24,  100,   62, 2198,    5,    4,    4,    1,     ,     ,     ,     ,     ,   64,   23,   75,   16,    6,   82,   92,   23,   75,   16,   35
  267,20220522,  154,   26,   34,   50,    8,   10,    3,   70,    9,  150,   84,    5,  201,   16,   64,    6,  141,   87, 2716,    0,    0,    0,    1,     ,     ,     ,     ,     ,   65,    3,   81,   10,    6,   72,   97,    4,   50,   13,   45
  267,20220523,  279,    6,   49,   90,   18,   20,   12,  120,   18,  154,  120,    5,  219,   12,  113,    6,   32,   20, 1213,   44,  113,   47,   18,     ,     ,     ,     ,     ,   40,   17,   76,    9,    8,   82,   97,   18,   66,   11,   20
  267,20220524,  244,   73,   75,  100,   10,   50,   21,  140,    7,  135,  116,    8,  158,   13,  110,   24,   70,   43, 1688,    9,   56,   37,    8,     ,     ,     ,     ,     ,   50,    5,   80,   18,    5,   81,   93,    5,   69,   18,   27
  267,20220525,  227,   86,   88,  130,   16,   50,    2,  180,   16,  141,  116,    4,  170,   11,  109,    6,   63,   39, 1822,   27,   34,   19,   22,     ,     ,     ,     ,     ,   43,   17,   82,   12,    6,   80,   93,   17,   57,   11,   29
  267,20220526,  251,   84,   88,  120,   17,   60,    9,  170,   17,  153,  135,   23,  181,   12,  128,    6,   67,   41, 2151,   16,   30,   16,   22,     ,     ,     ,     ,     ,   58,   22,   80,    8,    7,   79,   93,   22,   69,    8,   36
  267,20220527,     ,     ,  100,     ,     ,     ,     ,     ,     ,  134,  126,    6,  151,   12,  119,   24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    5,   70,     ,     ,     ,     ,     
  267,20220528,  323,   93,   95,  120,    1,   80,   12,  170,    1,  122,   97,   21,  146,   12,   92,   24,  125,   76, 2604,   17,   30,   14,   23,     ,     ,     ,     ,     ,   56,   23,   81,   14,    5,   72,   88,   23,   64,   14,   40
